model,checkpoint,eng_acc,nld_acc,spa_acc,fra_acc,rus_acc,ita_acc,por_acc,tur_acc,ara_acc,deu_acc,eng_se,nld_se,spa_se,fra_se,rus_se,ita_se,por_se,tur_se,ara_se,deu_se,source_path
HPLT/hplt2c_ara_checkpoints,checkpoint_0014000,0.8051948051948052,0.6036036036036037,0.721763085399449,0.7802197802197802,0.5594989561586639,0.581193731243748,0.6194225721784777,0.6687715269804823,0.9613168724279836,0.720626631853786,0.014272675323353,0.0101314037763664,0.0088900125689804,0.0082035733965843,0.0080197413362412,0.0090090462114543,0.0087944269451396,0.0112766121440351,0.0055323026864978,0.0093599309253003,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0014000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0015000,0.8363636363636363,0.6555126555126555,0.7276662731208186,0.8014128728414442,0.5597599164926931,0.5668556185395132,0.6305774278215223,0.6779563719862227,0.9695473251028808,0.7193211488250653,0.0133319021807146,0.0098425139609008,0.0088310939536644,0.0079032185504283,0.0080192349719718,0.0090482447101087,0.0087422544522552,0.0111952592083675,0.0049295705944704,0.0093732725981087,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0015000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0016000,0.8298701298701299,0.5877305877305877,0.7233372687918143,0.8018053375196232,0.550365344467641,0.5785261753917973,0.6440288713910761,0.6739380022962113,0.9637860082304528,0.7428198433420365,0.0135409766485547,0.0101955008956957,0.0088744902879191,0.0078973382000186,0.0080360508832827,0.0090169275025721,0.0086726650742488,0.0112314541957336,0.0053596986102893,0.0091177034845263,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0016000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0017000,0.8233766233766234,0.6207636207636208,0.7260920897284534,0.8014128728414442,0.5529749478079332,0.5855285095031677,0.6515748031496063,0.6653272101033295,0.9695473251028808,0.7228024369016536,0.0137428876270332,0.0100495586193003,0.0088469955225801,0.0079032185504283,0.0080316709814239,0.0089956618432472,0.0086303704237782,0.0113058643226578,0.0049295705944704,0.0093374759419891,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0017000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0018000,0.8207792207792208,0.5984555984555985,0.7430145611963794,0.8080847723704867,0.5558455114822547,0.5821940646882294,0.651246719160105,0.6733639494833524,0.9563786008230452,0.7410791993037423,0.0138217169379222,0.0101534028534053,0.0086686324257767,0.0078015961875979,0.008026594607525,0.0090060210256757,0.0086322586319578,0.0112365480493932,0.0058597161907424,0.009137781525205,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0018000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0019000,0.8220779220779221,0.6576576576576577,0.7253049980322708,0.8092621664050236,0.5477557411273486,0.5621873957985996,0.645997375328084,0.6859931113662457,0.9662551440329218,0.7332463011314186,0.0137824381058946,0.0098278634303766,0.008854894298347,0.0077832921030707,0.0080402073697371,0.0090593377131662,0.0086618595288659,0.0111200154282859,0.0051803793069285,0.0092258237444411,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0019000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0020000,0.8363636363636363,0.6241956241956242,0.7406532861078315,0.8218210361067504,0.548277661795407,0.596865621873958,0.6532152230971129,0.6555683122847302,0.9695473251028808,0.731940818102698,0.0133319021807146,0.0100315984452239,0.0086945181670534,0.0075808364917669,0.0080393939287771,0.0089572556014082,0.0086208617333016,0.0113850895554887,0.0049295705944704,0.0092401349765838,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0020000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0021000,0.8246753246753247,0.6203346203346203,0.7481306572215664,0.8371271585557299,0.5394050104384134,0.581193731243748,0.661745406824147,0.6595866819747417,0.9572016460905348,0.7310704960835509,0.0137030631492156,0.0100517660385072,0.0086114056540362,0.0073151012316906,0.0080520106857603,0.0090090462114543,0.0085695859260139,0.0113531175621079,0.0058066695590491,0.009249618951992,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0021000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0022000,0.8272727272727273,0.5911625911625912,0.7197953561589925,0.8124018838304553,0.56080375782881,0.5568522840946982,0.6502624671916011,0.6704936854190585,0.9629629629629628,0.6845082680591819,0.0136225825680261,0.0101825757326454,0.0089092234598086,0.0077339255229779,0.0080171870283843,0.0090710179722797,0.0086378962499651,0.0112617307950733,0.0054179472313118,0.0096941185864809,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0022000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0023000,0.8376623376623377,0.6366366366366366,0.7567886658795749,0.8237833594976453,0.5420146137787056,0.5548516172057353,0.6610892388451444,0.6561423650975889,0.9621399176954732,0.720626631853786,0.01328919811934,0.0099619703627663,0.0085109273251391,0.0075479715457481,0.0080485668959483,0.0090751245717052,0.0085736399625506,0.0113805774941226,0.0054754744216287,0.0093599309253003,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0023000/all.csv
