model,ckpt,flores200_eng,flores200_nld,flores200_spa,flores200_fra,flores200_rus,flores200_ita,flores200_tur,flores200_arb,flores200_deu,flores200_zho,xcsqa_eng,xcsqa_nld,xcsqa_spa,xcsqa_fra,xcsqa_rus,xcsqa_ita,xcsqa_tur,xcsqa_arb,xcsqa_deu,xcsqa_zho,hellaswag_eng,hellaswag_nld,hellaswag_spa,hellaswag_fra,hellaswag_rus,hellaswag_ita,hellaswag_tur,hellaswag_arb,hellaswag_deu,hellaswag_zho,belebele_eng,belebele_nld,belebele_spa,belebele_fra,belebele_rus,belebele_ita,belebele_tur,belebele_arb,belebele_deu,belebele_zho,multiblimp_eng,multiblimp_nld,multiblimp_spa,multiblimp_fra,multiblimp_rus,multiblimp_ita,multiblimp_tur,multiblimp_arb,multiblimp_deu,multiblimp_zho
mixed-10-checkpoints,33000,46.4269,51.3689,34.6396,40.0813,24.655,30.1481,26.18,,29.8716,,0.404,0.33,0.328,0.338,0.289,0.3487,,,0.3642,,0.434,0.375,0.398,0.387,0.362,0.379,0.384,,0.375,,0.3667,0.3789,0.3744,0.3889,0.3667,0.3478,0.3222,,0.3622,,0.9779,0.9824,0.9752,0.9898,0.977,0.975,0.9478,0.9457,0.9861,
mixed-10-checkpoints,34000,43.9925,36.0457,26.3095,36.5972,22.3114,28.5617,25.8925,,24.5672,,0.401,0.32,0.306,0.313,0.287,0.3397,,,0.3481,,0.455,0.377,0.414,0.393,0.37,0.387,0.383,,0.377,,0.3733,0.3589,0.3544,0.3867,0.3567,0.3456,0.3344,,0.3644,,0.9714,0.9803,0.9744,0.9882,0.9752,0.973,0.9466,0.9498,0.9874,
mixed-10-checkpoints,35000,44.4123,40.3612,34.3378,39.1077,26.2348,36.3352,24.8879,,23.5711,,0.397,0.335,0.336,0.31,0.289,0.3548,,,0.3592,,0.453,0.378,0.408,0.388,0.368,0.382,0.378,,0.374,,0.3678,0.36,0.3789,0.3933,0.3567,0.3378,0.3333,,0.3667,,0.9688,0.9794,0.9752,0.9831,0.9736,0.976,0.9489,0.9564,0.9852,
mixed-10-checkpoints,36000,24.1515,36.8537,35.3385,43.0316,23.3496,33.7631,33.132,,40.2697,,0.409,0.327,0.338,0.329,0.2799,0.3698,,,0.3501,,0.447,0.382,0.415,0.385,0.376,0.384,0.385,,0.373,,0.3778,0.3667,0.3767,0.38,0.3578,0.3589,0.3344,,0.3933,,0.9675,0.9794,0.9721,0.9898,0.9742,0.973,0.9518,0.9473,0.9839,
mixed-10-checkpoints,37000,27.6558,31.044,40.0778,44.7606,27.2695,28.761,32.3276,,24.8659,,0.425,0.344,0.326,0.337,0.2809,0.3608,,,0.3722,,0.453,0.373,0.416,0.397,0.372,0.371,0.381,,0.377,,0.3511,0.3556,0.3733,0.3711,0.3656,0.3578,0.3233,,0.3644,,0.9766,0.9773,0.974,0.9867,0.9734,0.973,0.946,0.9473,0.9848,
mixed-10-checkpoints,38000,42.0842,30.3674,29.8556,46.204,30.3651,24.0936,39.2693,,33.3337,,0.429,0.326,0.351,0.355,0.3083,0.3568,,,0.3501,,0.44,0.376,0.414,0.402,0.362,0.39,0.384,,0.382,,0.3789,0.3744,0.3889,0.3833,0.3622,0.36,0.3367,,0.3711,,0.9688,0.9828,0.978,0.9882,0.9796,0.9717,0.9512,0.9481,0.9869,
mixed-10-checkpoints,39000,43.8827,27.7254,30.6703,33.185,26.2699,31.2643,22.7275,,30.9929,,0.425,0.335,0.351,0.335,0.2901,0.3538,,,0.3521,,0.457,0.371,0.427,0.397,0.378,0.388,0.382,,0.381,,0.3544,0.3622,0.3778,0.38,0.3478,0.3489,0.3233,,0.3789,,0.9779,0.982,0.976,0.9874,0.977,0.97,0.9449,0.9498,0.9878,
mixed-10-checkpoints,40000,28.9007,23.2884,38.7108,37.9468,28.8651,27.0216,24.1395,,34.2101,,0.423,0.329,0.334,0.333,0.3063,0.3628,,,0.3692,,0.455,0.379,0.425,0.406,0.384,0.387,0.377,,0.384,,0.3622,0.36,0.3778,0.38,0.3589,0.3433,0.3333,,0.3733,,0.9662,0.9824,0.9752,0.989,0.976,0.9733,0.9472,0.9465,0.9856,
mixed-10-checkpoints,41000,41.7588,37.3334,27.9697,33.0458,22.7065,28.4906,28.4077,,30.8667,,0.438,0.335,0.35,0.344,0.2951,0.3477,,,0.3602,,0.469,0.384,0.432,0.398,0.381,0.407,0.384,,0.388,,0.3656,0.37,0.3789,0.3911,0.3578,0.3567,0.3278,,0.3811,,0.9727,0.9846,0.9752,0.9878,0.976,0.9723,0.9524,0.9523,0.9861,
mixed-10-checkpoints,42000,38.9046,38.8086,37.4273,31.5517,21.6912,26.9278,29.9398,,37.0739,,0.437,0.348,0.347,0.334,0.3043,0.3568,,,0.3692,,0.468,0.393,0.423,0.418,0.383,0.409,0.394,,0.384,,0.3767,0.3611,0.3744,0.3933,0.36,0.3644,0.3367,,0.3744,,0.9701,0.9854,0.9728,0.9882,0.9749,0.9697,0.9604,0.9481,0.9856,
mixed-10-checkpoints,43000,45.5356,36.7692,25.3725,36.4063,31.591,26.4561,28.2226,,43.1173,,0.431,0.338,0.347,0.334,0.2972,0.3608,,,0.3642,,0.481,0.395,0.425,0.415,0.388,0.408,0.389,,0.382,,0.38,0.3778,0.3867,0.4033,0.3689,0.3611,0.3456,,0.39,,0.9688,0.9846,0.9791,0.9878,0.9773,0.971,0.9546,0.9556,0.9896,
mixed-10-checkpoints,44000,30.8552,32.7464,28.6427,48.5224,26.3573,22.5419,30.9345,,38.472,,0.434,0.341,0.347,0.326,0.3002,0.3809,,,0.3632,,0.479,0.403,0.446,0.406,0.382,0.412,0.396,,0.387,,0.3644,0.3578,0.3867,0.3967,0.3622,0.3467,0.3422,,0.3789,,0.9649,0.9833,0.974,0.9878,0.9749,0.9737,0.9552,0.9514,0.9896,
